movie_id,name_rus,kp_rating,movie_duration,kp_rating_count,movie_year,imdb_rating,imdb_rating_count,genres,countries,budget,critics_rating,name_eng
10000,Иезавель,7.411,104,518.0,1938,7.6,8585.0,"[драма, мелодрама]",[США],$1 250 000,94.0,Jezebel
100049,47 ронинов,7.66,204,297.0,1962,7.8,1496.0,"[боевик, драма, история]",[Япония],,,Chûshingura
10005,Живем один раз,7.168,86,330.0,1937,7.4,3812.0,"[фильм-нуар, драма, криминал]",[США],$575 000,100.0,You Only Live Once
100053,Колдун 2,7.745,113,109.0,2003,6.5,393.0,"[фэнтези, боевик]",[Япония],,,Onmyoji 2
100096,"Ильза, тигрица из Сибири",4.286,85,151.0,1977,4.9,1211.0,[ужасы],[Канада],CAD 250 000,,Ilsa the Tigress of Siberia
100098,Никаких проблем!,7.22,105,225.0,1975,6.2,228.0,[комедия],[Франция],,,Pas de problème!
10023,Золото Маккенны,7.787,128,5792.0,1969,6.8,5741.0,"[мелодрама, вестерн, приключения]",[США],$7 000 000,,Mackenna's Gold
10025,Блеф Кугана,6.556,93,563.0,1968,6.5,11252.0,"[боевик, триллер]",[США],,94.0,Coogan's Bluff
10026,Сова появляется днем,7.365,112,199.0,1967,7.1,689.0,"[триллер, драма, криминал, детектив]","[Италия, Франция]",,,Il giorno della civetta
100261,Пиноккио 964,5.709,97,308.0,1991,5.6,1134.0,"[ужасы, фантастика]",[Япония],,,964 Pinocchio
10033,Исход,6.599,208,193.0,1960,6.8,6618.0,"[боевик, драма, военный, история]",[США],$4 000 000,62.0,Exodus
10037,Братья Карамазовы,6.368,145,121.0,1958,6.8,1828.0,"[драма, мелодрама]",[США],,22.0,The Brothers Karamazov
10038,Три лица Евы,7.765,91,735.0,1957,7.2,5222.0,"[драма, детектив]",[США],,93.0,The Three Faces of Eve
10040,Человек в сером фланелевом костюме,7.376,153,109.0,1956,7.2,2395.0,"[драма, военный]",[США],,75.0,The Man in the Gray Flannel Suit
10041,Левая рука Бога,6.938,87,107.0,1955,6.5,1662.0,[драма],[США],,,The Left Hand of God
1005,Весь город говорит,7.159,118,164.0,1942,7.6,5173.0,"[триллер, драма, мелодрама, комедия]",[США],,93.0,The Talk of the Town
10051,Воровское шоссе,7.377,94,251.0,1949,7.7,3475.0,"[фильм-нуар, триллер, драма]",[США],,,Thieves' Highway
10055,Бумеранг!,6.906,88,153.0,1947,7.3,2680.0,"[фильм-нуар, драма, криминал]",[США],$1 140 000,75.0,Boomerang!
100552,Крик совы,6.395,91,640.0,2006,5.6,6147.0,"[комедия, приключения, семейный]",[США],$15 000 000,26.0,Hoot
100553,Военная игра,6.789,48,436.0,1965,8.1,4656.0,"[фантастика, драма, военный]",[Великобритания],,92.0,The War Game
100563,Гонщик,7.225,85,166.0,1928,7.8,1921.0,"[боевик, комедия, семейный]",[США],,,Speedy
10058,Анна и король Сиама,6.617,128,181.0,1946,7.1,1561.0,"[драма, мелодрама, биография]",[США],,88.0,Anna and the King of Siam
1006,Подозрение,7.508,99,2146.0,1941,7.5,22794.0,"[триллер, детектив]",[США],$1 800 000,100.0,Suspicion
100607,Четыре ночи мечтателя,7.142,87,338.0,1971,7.7,1039.0,"[драма, мелодрама]","[Франция, Италия]",,100.0,Quatre nuits d'un rêveur
100627,Разденься для убийцы,5.73,98,121.0,1975,5.8,1250.0,"[триллер, детектив]",[Италия],,,Nude per l'assassino
1007,Грошовая серенада,7.682,119,178.0,1941,7.2,4444.0,"[драма, мелодрама]",[США],,93.0,Penny Serenade
10074,Рождественские каникулы,7.154,97,6694.0,1989,7.6,98361.0,"[комедия, семейный]",[США],$27 000 000,64.0,Christmas Vacation
10079,Тора! Тора! Тора!,7.544,144,803.0,1970,7.5,24305.0,"[военный, история, боевик, драма]","[Япония, США]",$25 000 000,59.0,Tora! Tora! Tora!
10080,Ремагенский мост,7.014,112,124.0,1969,6.7,6183.0,"[боевик, драма, военный]",[США],,,The Bridge at Remagen
100847,Шесть шведок с бензоколонки,4.867,75,105.0,1980,4.4,126.0,"[фэнтези, комедия]",[Швейцария],,,Sechs Schwedinnen von der Tankstelle
10088,Сломанное копье,6.661,96,103.0,1954,7.0,2321.0,[вестерн],[США],$2 000 000,,Broken Lance
1009,Моя любимая жена,7.186,88,165.0,1940,7.4,6858.0,"[мелодрама, комедия]",[США],,85.0,My Favorite Wife
10098,Дни вина и роз,7.85,112,637.0,1962,7.9,8615.0,[драма],[США],,100.0,Days of Wine and Roses
10104,Чужой среди нас,6.184,110,133.0,1992,5.7,2681.0,"[драма, мелодрама, криминал]",[США],,23.0,A Stranger Among Us
10105,На холостом ходу,7.633,116,531.0,1988,7.7,9725.0,"[драма, мелодрама, криминал, музыка]",[США],$3 000 000,85.0,Running on Empty
10106,На следующее утро,6.438,103,278.0,1986,6.0,4457.0,"[триллер, мелодрама, криминал, детектив]",[США],,71.0,The Morning After
10107,Смертельная ловушка,7.05,116,681.0,1982,7.0,8657.0,"[триллер, комедия, криминал, детектив]",[США],,75.0,Deathtrap
10109,Эквус,7.136,137,433.0,1977,7.2,5614.0,"[драма, детектив]","[США, Великобритания]",,71.0,Equus
101095,Зорро,7.727,125,8635.0,1975,6.6,2082.0,"[боевик, комедия, приключения, вестерн]","[Италия, Франция]",,,Zorro
1011,Только у ангелов есть крылья,7.341,121,371.0,1939,7.7,8485.0,"[драма, приключения]",[США],,100.0,Only Angels Have Wings
10110,Оскорбление,7.004,113,316.0,1973,7.1,3772.0,"[драма, криминал, триллер]","[Великобритания, США]",,,The Offence
10111,Детская игра,6.807,100,140.0,1972,6.1,573.0,"[ужасы, триллер, драма, детектив]",[США],,,Child's Play
10114,Свидание,7.068,115,117.0,1969,5.7,550.0,[драма],[США],,,The Appointment
10117,Дело самоубийцы,6.822,107,139.0,1966,6.8,1675.0,"[триллер, драма, мелодрама, криминал, детектив]",[Великобритания],,,The Deadly Affair
10119,Холм,8.021,123,439.0,1965,7.9,9088.0,"[драма, военный]",[Великобритания],,100.0,The Hill
1012,Ганга Дин,6.461,117,198.0,1939,7.5,8539.0,"[приключения, военный]",[США],$1 910 000,92.0,Gunga Din
10120,Ростовщик,7.549,116,261.0,1964,7.8,5762.0,[драма],[США],$500 000,100.0,The Pawnbroker
10122,Такая женщина,7.144,92,114.0,1959,6.3,380.0,"[драма, мелодрама, комедия, военный]",[США],,,That Kind of Woman
101230,Моргиана,6.834,106,113.0,1972,7.3,498.0,"[ужасы, драма]",[Чехословакия],,,Morgiana
10125,Золотая молодежь,6.957,106,2559.0,2003,6.7,4251.0,"[драма, комедия, военный]",[Великобритания],,66.0,Bright Young Things
10126,Последний занавес,5.902,85,105.0,2002,5.8,465.0,[драма],"[Великобритания, США]",,,The Final Curtain
10127,Полный беспредел,7.645,106,441.0,2002,6.1,1296.0,"[драма, комедия]","[Канада, Великобритания]",$12 000 000,,Global Heresy
10130,Фантомы,5.888,96,1716.0,1998,5.4,15744.0,"[ужасы, фантастика, триллер]","[США, Япония]",,13.0,Phantoms
10133,Король Ральф,6.667,97,3636.0,1991,5.1,12037.0,"[мелодрама, комедия]",[США],,20.0,King Ralph
101333,Молот ведьм,7.734,103,251.0,1969,8.0,964.0,"[драма, история]",[Чехословакия],,,Kladivo na carodejnice
10134,Крылья славы,7.47,116,327.0,1990,7.0,562.0,"[фэнтези, драма, комедия]",[Нидерланды],,,Wings of Fame
10135,В лунную ночь,6.754,109,185.0,1989,6.3,180.0,[драма],"[Италия, Франция]",,,In una notte di chiaro di luna
101353,Чистыми руками,7.189,95,204.0,1972,7.9,675.0,"[боевик, триллер, криминал]","[Румыния, Германия (ФРГ)]",,,Cu mâinile curate
10136,Супергёрл,5.034,120,636.0,1984,4.3,13435.0,"[фантастика, фэнтези, боевик, приключения]","[Великобритания, США]",$35 000 000,7.0,Supergirl
1014,Праздник,7.799,95,707.0,1938,7.9,10406.0,"[мелодрама, комедия]",[США],,100.0,Holiday
10141,Мой лучший год,6.677,92,140.0,1982,7.4,6788.0,[комедия],[США],,100.0,My Favorite Year
10142,Калигула,5.986,156,5568.0,1979,5.2,26269.0,"[для взрослых, драма, история]","[Италия, США]",$17 500 000,,Caligula
10143,Рассвет зулусов,6.844,113,151.0,1979,6.6,4679.0,"[драма, приключения, военный, история]","[США, ЮАР, Нидерланды, Великобритания]",,57.0,Zulu Dawn
101433,Комиссар полиции обвиняет,7.445,114,148.0,1973,7.6,689.0,"[боевик, триллер, драма, криминал]",[Румыния],,,Un comisar acuza
